,Date,EURUSD,USDCAD
Fr,12/30/2022,1.0661,1.3548
Th,12/29/2022,1.0612,1.3608
We,12/28/2022,1.064,1.3523
Tu,12/27/2022,1.0637,1.3582
Mo,12/26/2022,1.0613,1.3607
,,,
Fr,12/23/2022,1.0596,1.3656
Th,12/22/2022,1.0605,1.3612
We,12/21/2022,1.0624,1.3611
Tu,12/20/2022,1.0607,1.3648
Mo,12/19/2022,1.0603,1.3688
,,,
Fr,12/16/2022,1.0628,1.3658
Th,12/15/2022,1.0682,1.3548
We,12/14/2022,1.0633,1.3545
Tu,12/13/2022,1.0537,1.3636
Mo,12/12/2022,1.0535,1.3641
,,,
Fr,12/09/2022,1.0556,1.3595
Th,12/08/2022,1.0506,1.3653
We,12/07/2022,1.0467,1.3653
Tu,12/06/2022,1.0491,1.3588
Mo,12/05/2022,1.0532,1.347
,,,
Fr,12/02/2022,1.0519,1.3432
Th,12/01/2022,1.0406,1.3412
We,11/30/2022,1.0329,1.3579
Tu,11/29/2022,1.034,1.3496
Mo,11/28/2022,1.0402,1.3396
,,,
Fr,11/25/2022,1.041,1.3337
Th,11/24/2022,1.0397,1.3354
We,11/23/2022,1.0304,1.3374
Tu,11/22/2022,1.0242,1.3448
Mo,11/21/2022,1.0319,1.3375
,,,
Fr,11/18/2022,1.0362,1.3328
Th,11/17/2022,1.0395,1.3329
We,11/16/2022,1.0349,1.328
Tu,11/15/2022,1.0327,1.3314
Mo,11/14/2022,1.0325,1.3279
,,,
Fr,11/11/2022,1.0209,1.3324
Th,11/10/2022,1.0011,1.3526
We,11/09/2022,1.0074,1.3427
Tu,11/08/2022,1.002,1.3494
Mo,11/07/2022,0.9929,1.3542
,,,
Fr,11/04/2022,0.9749,1.3746
Th,11/03/2022,0.9818,1.3712
We,11/02/2022,0.9877,1.363
Tu,11/01/2022,0.9882,1.3624
Mo,10/31/2022,0.9954,1.3614
,,,
Fr,10/28/2022,0.9964,1.3565
Th,10/27/2022,1.0081,1.3553
We,10/26/2022,0.9966,1.3608
Tu,10/25/2022,0.9874,1.3705
Mo,10/24/2022,0.9849,1.3643
,,,
Fr,10/21/2022,0.9786,1.3765
Th,10/20/2022,0.9773,1.3765
We,10/19/2022,0.9857,1.3737
Tu,10/18/2022,0.9841,1.3716
Mo,10/17/2022,0.9719,1.3872
,,,
Fr,10/14/2022,0.9776,1.3753
Th,10/13/2022,0.9703,1.3816
We,10/12/2022,0.9708,1.3797
Tu,10/11/2022,0.9702,1.3779
Mo,10/10/2022,0.9745,1.3695
,,,
Fr,10/07/2022,0.9791,1.3748
Th,10/06/2022,0.9883,1.3619
We,10/05/2022,0.9986,1.3513
Tu,10/04/2022,0.9826,1.3624
Mo,10/03/2022,0.9803,1.3809
,,,
Fr,09/30/2022,0.9815,1.368
Th,09/29/2022,0.9735,1.3608
We,09/28/2022,0.9594,1.3724
Tu,09/27/2022,0.9609,1.3735
Mo,09/26/2022,0.968,1.3577
,,,
Fr,09/23/2022,0.9837,1.3487
Th,09/22/2022,0.9837,1.3463
We,09/21/2022,0.9971,1.3365
Tu,09/20/2022,1.0024,1.3251
Mo,09/19/2022,1.0012,1.3277
,,,
Fr,09/16/2022,1.0001,1.3227
Th,09/15/2022,0.9981,1.3165
We,09/14/2022,0.997,1.3167
Tu,09/13/2022,1.0122,1.2988
Mo,09/12/2022,1.0055,1.3029
,,,
Fr,09/09/2022,0.9998,1.3092
Th,09/08/2022,1.0005,1.3121
We,09/07/2022,0.9904,1.3153
Tu,09/06/2022,0.9929,1.3142
Mo,09/05/2022,0.995,1.3115
,,,
Fr,09/02/2022,0.9945,1.3155
,,,
Th,09/01/2022,1.0054,1.313
We,08/31/2022,1.0015,1.3093
Tu,08/30/2022,0.9997,1.3011
Mo,08/29/2022,0.9975,1.3029
Fr,08/26/2022,0.9975,1.2924
Th,08/25/2022,0.9967,1.2967
We,08/24/2022,0.997,1.2955
Tu,08/23/2022,0.9943,1.3056
Mo,08/22/2022,1.0039,1.2993
Fr,08/19/2022,1.0088,1.2948
Th,08/18/2022,1.0181,1.2913
We,08/17/2022,1.0171,1.2845
Tu,08/16/2022,1.0161,1.2905
Mo,08/15/2022,1.0256,1.2785
Fr,08/12/2022,1.032,1.2764
Th,08/11/2022,1.0299,1.2776
We,08/10/2022,1.0213,1.2889
Tu,08/09/2022,1.0197,1.2855
Mo,08/08/2022,1.0183,1.2931
Fr,08/05/2022,1.0246,1.2865
